Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
09-NOV-2015,7903.8,8068.4,7890.85,8044.45,294972687.0,11924.26
10-NOV-2015,8009.1,8017.4,7896.7,7907.65,275281891.0,9744.58
11-NOV-2015,7964.95,7973.45,7952.05,7956.4,31847545.0,1381.73
13-NOV-2015,7895.35,7900.35,7853.55,7886.9,264081261.0,11076.44
16-NOV-2015,7859.6,7948.05,7835.65,7917.45,226332965.0,9338.65
17-NOV-2015,7961.3,7970.2,7907.15,7951.25,218479910.0,8566.68
18-NOV-2015,7940.3,7961.0,7849.2,7855.25,211499146.0,8216.94
19-NOV-2015,7910.5,7974.75,7888.65,7963.9,200290135.0,9698.01
20-NOV-2015,7966.5,8030.4,7945.8,7984.85,226015077.0,9600.68
23-NOV-2015,7999.95,8010.9,7959.15,7981.55,199184164.0,8306.42
24-NOV-2015,7972.65,8006.1,7953.25,7968.6,222102083.0,9073.72
26-NOV-2015,7976.85,8026.7,7976.85,8014.25,339458865.0,14431.9
27-NOV-2015,8042.85,8082.55,8014.0,8067.9,235535000.0,9255.66
30-NOV-2015,8064.3,8087.65,8046.65,8057.2,445347705.0,20015.34
01-DEC-2015,8083.2,8099.7,8063.6,8087.5,222552149.0,9205.59
02-DEC-2015,8109.4,8109.4,8046.0,8069.05,207292727.0,8574.25
03-DEC-2015,8041.05,8049.85,7991.85,8002.3,238318609.0,8335.89
04-DEC-2015,7955.8,7960.6,7916.8,7921.8,284593360.0,10383.06
07-DEC-2015,7956.6,7964.45,7892.6,7908.65,216861299.0,8447.35
08-DEC-2015,7881.5,7915.3,7827.4,7842.0,208078528.0,7908.09
09-DEC-2015,7834.7,7839.15,7736.9,7742.25,221779534.0,8994.47
10-DEC-2015,7774.3,7819.95,7736.55,7812.55,218843582.0,8851.41
11-DEC-2015,7830.25,7830.55,7707.55,7740.15,252749267.0,9334.49
14-DEC-2015,7691.7,7794.3,7685.75,7780.15,233041052.0,8567.25
15-DEC-2015,7791.05,7835.65,7760.35,7832.0,199675630.0,8067.22
16-DEC-2015,7858.9,7907.45,7849.0,7879.55,228816066.0,8816.83
17-DEC-2015,7913.7,7986.1,7873.9,7978.1,264065281.0,9939.51
18-DEC-2015,7963.4,7973.75,7900.6,7908.5,278839624.0,10811.28
21-DEC-2015,7895.85,7982.8,7890.35,7978.9,181152270.0,7301.19
22-DEC-2015,7976.05,7994.15,7925.75,7934.05,200798238.0,6805.89
23-DEC-2015,7976.6,8012.8,7974.6,8008.65,175112927.0,6172.11
24-DEC-2015,8032.45,8032.45,7981.25,8005.55,156832106.0,5245.82
